,SL No (Common Name),Common Name,SL No (Products),Brand Name,Registration No,Registration Holder,Recommended Crops,Recommended Pests,Dosage Rate,Recommendations (Crop | Pest | Dosage),No. of Recommendations
,1,Abamectin,110,Actin 1.8EC,AP-5880,Croptech Bangladesh Ltd.,"Rice, Brinjal","BPH, Red mite",1.0 L/ha; 1.20 ml/L of water,"Rice | BPH | 1.0 L/ha
Brinjal | Red mite | 1.20 ml/L of water",2
,1,Abamectin,111,Abasun 1.8EC,AP-5881,Sun Corporation,"Rice, Brinjal","BPH, Red mite",1.0 L/ha; 1.2 ml/L of water,"Rice | BPH | 1.0 L/ha
Brinjal | Red mite | 1.2 ml/L of water",2
,1,Abamectin,112,Roly-Poly 1.8EC,AP-5882,Golden Agro Chemicals Limited,"Rice, Brinjal","BPH, Red mite",1.0 L/ha; 1.2 ml/L of water,"Rice | BPH | 1.0 L/ha
Brinjal | Red mite | 1.2 ml/L of water",2
,1,Abamectin,113,Abamos 1.8EC,AP-5883,Mosco Marketing Company,Brinjal,Aphid,1 ml/L of water,Brinjal | Aphid | 1 ml/L of water,1
,1,Abamectin,114,KB Mite 1.8EC,AP-5884,Krishok Bondhu Agro Ltd.,Jute,Yellow mite,600 ml/ha,Jute | Yellow mite | 600 ml/ha,1
,1,Abamectin,115,Beni 1.8EC,AP-5885,Crop Protection & Care Center,Jute,Yellow mite,600 ml/ha,Jute | Yellow mite | 600 ml/ha,1
,1,Abamectin,116,Baci 1.8EC,AP-5886,BACI Limited,Tea,Red spider mite,500 ml/ha,Tea | Red spider mite | 500 ml/ha,1
,1,Abamectin,117,Tuning 1.8EC,AP-5887,Progress Agro Industries,Rice,BPH,1.0 L/ha,Rice | BPH | 1.0 L/ha,1
,1,Abamectin,118,SB-Care 1.8EC,AP-5888,SB Crop Care Industries Ltd.,Rice,BPH,1.0 L/ha,Rice | BPH | 1.0 L/ha,1
,1,Abamectin,119,Rain-Bag 1.8EC,AP-5889,Rain Agrovate,Rice,BPH,1.0 L/ha,Rice | BPH | 1.0 L/ha,1
,1,Abamectin,120,Tata-Aba 1.8EC,AP-5890,Tata Crop Care Company,Rice,BPH,1.0 L/ha,Rice | BPH | 1.0 L/ha,1
,1,Abamectin,121,K-Mectin 1.8EC,AP-5891,S K Agrochemicals Ltd.,Rice,BPH,1.0 L/ha,Rice | BPH | 1.0 L/ha,1
